data;ghi;dni;air_temp;relhum;press;windsp;winddir;max_windsp;precipitation
3/1/2014 11:00;0;0;7.3;63.7;1006;1.84;12.2;2.8;0
3/1/2014 12:00;0;0;5.24;71.58;1006;0.96;115.2;1.7;0
3/1/2014 13:00;0;0;6.9;64.08;1006;2.02;13.4;3;0
3/1/2014 14:00;0;0;6.44;63.92;1006;2.2;26.41;3.8;0
3/1/2014 15:00;0;0;5.3;70.18;1006;1.16;127.4;1.6;0
3/1/2014 16:00;64.26;467.4;6.8;63.22;1006;1.94;32.6;3.5;0
3/1/2014 17:00;222.5;736.4;10.08;50.76;1006;0.5;33.21;0.7;0
3/1/2014 18:00;353.6;819;14.24;40.28;1007;0.6;259.8;0.9;0
3/1/2014 19:00;445.6;863;15.3;37.72;1006;1.7;275;2;0
3/1/2014 20:00;482.5;867;16.7;35.32;1005;1.56;281.4;2.1;0
3/1/2014 21:00;463;847;17.98;32.98;1004;2.18;306.4;3.1;0
3/1/2014 22:00;390.7;807;18.72;31.1;1003;1.56;299.4;2.6;0
3/1/2014 23:00;270.2;704.2;18.8;31.52;1003;2.54;311;3;0
4/1/2014 0:00;132.6;513;18.2;33.4;1003;1.78;293.6;2.3;0
4/1/2014 1:00;0;0;16.42;39.18;1003;0.76;301.2;1;0
4/1/2014 2:00;0;0;13.1;46.94;1003;0.76;84.4;1.2;0
4/1/2014 3:00;0;0;10.18;54.32;1003;0.48;96;0.6;0
4/1/2014 4:00;0;0;8.5;61.52;1003;1.58;67.97;2.3;0
4/1/2014 5:00;0;0;8.72;62.38;1003;0.96;95.8;2;0
4/1/2014 6:00;0;0;9.12;61.78;1004;0.64;46.88;1.4;0
4/1/2014 7:00;0;0;7.94;65.94;1004;1.78;78.81;3;0
4/1/2014 8:00;0;0;7.74;65.7;1004;2.48;26.8;3.7;0
4/1/2014 9:00;0;0;7.1;67.38;1004;2.14;50.19;2.9;0
4/1/2014 10:00;0;0;5.2;73.4;1004;0.7;116.4;1.9;0
4/1/2014 11:00;0;0;6.8;68.18;1004;2.22;36.01;3.1;0
4/1/2014 12:00;0;0;6.6;67.84;1004;1.78;18.62;3.1;0
4/1/2014 13:00;0;0;6.1;68.2;1004;1.34;57.62;2.2;0
4/1/2014 14:00;0;0;4.58;71.14;1004;1.62;187.4;2.5;0
4/1/2014 15:00;0;0;4.9;71.78;1005;1.68;91.5;2.4;0
4/1/2014 16:00;68.08;517.7;5.5;67.92;1005;1.5;72.18;2.1;0
4/1/2014 17:00;228.1;740.7;9.1;58.62;1006;0.98;257.4;1.7;0
4/1/2014 18:00;362.1;823;10.9;53.52;1006;2.12;299.8;2.9;0
4/1/2014 19:00;454.7;864;13.34;46.7;1006;2.86;309.4;3.8;0
4/1/2014 20:00;499.1;885;14;46.1;1005;3.36;301.4;4;0
4/1/2014 21:00;480.3;870;15.8;39.24;1004;1.18;212.1;2.4;0
4/1/2014 22:00;409.9;844;16;33.44;1004;3.8;317;4.8;0
4/1/2014 23:00;286;751.7;16.9;30.96;1004;1.68;289.5;2.3;0
5/1/2014 0:00;149.8;557.2;17.9;25.8;1004;0.9;310.2;1.7;0
5/1/2014 1:00;0;0;15.78;33.18;1004;0.36;134.2;0.6;0
5/1/2014 2:00;0;0;10.7;43.2;1004;0.86;76.2;1.4;0
5/1/2014 3:00;0;0;8.6;52.04;1004;0.96;89.5;1.5;0
5/1/2014 4:00;0;0;8.5;55.92;1005;1.12;105.2;2;0
5/1/2014 5:00;0;0;8.7;55.58;1006;1.38;93.9;2.5;0
5/1/2014 6:00;0;0;7.9;57.78;1007;1.04;74.98;1.6;0
5/1/2014 7:00;0;0;7.9;58.5;1007;1.08;82.5;2;0
5/1/2014 8:00;0;0;9.1;58.26;1007;0.78;109.7;1.1;0
5/1/2014 9:00;0;0;6.62;65.94;1007;2.08;11.26;3.8;0
5/1/2014 10:00;0;0;6.5;67.3;1008;2.66;45.02;4.3;0
5/1/2014 11:00;0;0;6.2;65.1;1008;2.12;54.59;2.9;0
5/1/2014 12:00;0;0;5.26;67.14;1008;1.58;62.24;2.5;0
5/1/2014 13:00;0;0;5.2;63.24;1008;2.06;50.63;3.2;0
5/1/2014 14:00;0;0;4.9;60.96;1009;1.62;135;2.6;0
5/1/2014 15:00;0;0;4.68;57.32;1009;1.38;169.4;2.1;0
5/1/2014 16:00;60;320.4;4.22;57.14;1010;2.32;56.62;3.4;0
5/1/2014 17:00;223.4;666.5;8.58;52.04;1011;0.4;218.4;0.7;0
5/1/2014 18:00;355.5;755.7;12.46;36.64;1012;1.08;278.6;1.8;0
5/1/2014 19:00;448.1;801;14.4;34.32;1011;0.66;260.3;1.4;0
5/1/2014 20:00;488.2;811;16.6;33.12;1010;1.46;310.7;2.1;0
5/1/2014 21:00;468.5;792.3;17.46;32.56;1010;1.2;295.3;2;0
5/1/2014 22:00;396.2;754.2;18.44;30.98;1009;1.22;296.3;2;0
5/1/2014 23:00;276.5;665.7;18.4;31.34;1009;0.5;292;0.8;0
6/1/2014 0:00;143.7;481.2;17.9;33.1;1009;1.7;278.3;2.1;0
6/1/2014 1:00;0;0;16.24;36.44;1009;0.86;303.4;1.1;0
6/1/2014 2:00;0;0;11.94;47.08;1010;1.02;76;1.2;0
6/1/2014 3:00;0;0;9.04;55.08;1010;0.96;86.4;1.8;0
6/1/2014 4:00;0;0;8.2;58.88;1010;1.82;68.2;2.7;0
6/1/2014 5:00;0;0;8.5;60.2;1011;2.06;41.6;2.8;0
6/1/2014 6:00;0;0;7.14;63.58;1011;1.56;40.49;3.8;0
6/1/2014 7:00;0;0;7.44;60.18;1011;1.82;62.4;3.3;0
6/1/2014 8:00;0;0;7.38;59.14;1011;1.92;40;2.4;0
6/1/2014 9:00;0;0;7.54;56.66;1011;1.3;54.71;2.1;0
6/1/2014 10:00;0;0;6.74;57.66;1012;1.4;37.77;2.8;0
6/1/2014 11:00;0;0;6.6;60;1012;2.14;51.61;3.1;0
6/1/2014 12:00;0;0;6.44;56.78;1012;2.38;39.2;3.8;0
6/1/2014 13:00;0;0;4.76;64.4;1012;1.18;245.2;2.6;0
6/1/2014 14:00;0;0;6.8;54.68;1012;1.58;14.2;2.4;0
6/1/2014 15:00;0;0;6.2;54.5;1013;0.76;357.2;2;0
6/1/2014 16:00;36.19;0;5.9;55.68;1013;2.26;56;2.9;0
6/1/2014 17:00;120.3;5.47;6.9;55.98;1014;0.5;111.8;1.4;0
6/1/2014 18:00;231;52.78;9.5;50.82;1014;1.18;96.4;1.7;0
6/1/2014 19:00;195.4;0;12.66;42.4;1014;1.12;296;1.6;0
6/1/2014 20:00;209.9;5.69;14.3;38.58;1013;1.78;279.4;2.4;0
6/1/2014 21:00;160.4;0;14.8;35.84;1012;0.66;290.1;1;0
6/1/2014 22:00;200.3;0.83;15.5;32.94;1011;0.9;300.6;1.1;0
6/1/2014 23:00;323.4;674;16.84;31.14;1010;0.6;313;0.7;0
7/1/2014 0:00;70.06;0;15.5;33.68;1011;0.7;320.6;1;0
7/1/2014 1:00;0;0;14.3;35.86;1010;0.42;96.8;0.6;0
7/1/2014 2:00;0;0;13.1;39.96;1010;0.38;116.2;0.6;0
7/1/2014 3:00;0;0;12.36;42.62;1010;0.18;177.9;0.3;0
7/1/2014 4:00;0;0;11.84;41.92;1011;0.38;225;0.6;0
7/1/2014 5:00;0;0;11.5;47.56;1011;0.3;153.3;0.8;0
7/1/2014 6:00;0;0;11.2;48.42;1010;0.26;102.5;0.6;0
7/1/2014 7:00;0;0;10.9;48.8;1010;0.46;138.1;0.8;0
7/1/2014 8:00;0;0;10.38;51.04;1010;1.34;336.8;1.8;0
7/1/2014 9:00;0;0;7.54;61.38;1010;0.9;80.8;1.6;0
7/1/2014 10:00;0;0;7.66;62.9;1010;1.32;65.38;2.1;0
7/1/2014 11:00;0;0;5.74;68.32;1010;1.98;59.6;2.6;0
7/1/2014 12:00;0;0;4.8;73.96;1010;1.4;183.4;2;0
7/1/2014 13:00;0;0;6.2;64.7;1009;0.7;226.7;1.7;0
7/1/2014 14:00;0;0;5.7;66.6;1009;1.16;276.4;2.2;0
7/1/2014 15:00;0;0;4.74;68.84;1009;1.08;230.8;1.8;0
7/1/2014 16:00;35.9;0;4.5;71.64;1010;1.18;108.5;1.9;0
7/1/2014 17:00;107.6;0;7.2;60.42;1010;0.9;335.8;1.8;0
7/1/2014 18:00;215.3;369.8;7.64;62.9;1011;0.76;266.6;1.5;0
7/1/2014 19:00;424.1;597.3;13.1;42;1011;0.64;257.2;1.2;0
7/1/2014 20:00;524.3;797.4;15.62;35.28;1010;0.72;245.6;1.5;0
7/1/2014 21:00;483.1;764.5;16.86;31.74;1009;1.26;252.8;2.2;0
7/1/2014 22:00;392.5;717;17.4;29.26;1008;1.68;126.4;2.3;0
7/1/2014 23:00;301.5;626;18;27.58;1008;1.2;190.9;2.1;0
8/1/2014 0:00;137.7;405;17.3;29.12;1008;1.3;209.1;1.8;0
8/1/2014 1:00;2.85;0;14.86;32.84;1008;0.2;58.33;0.3;0
8/1/2014 2:00;0;0;12;39.5;1008;0.4;89;0.6;0
8/1/2014 3:00;0;0;10.4;43.86;1008;0.82;128.2;1.2;0
8/1/2014 4:00;0;0;9.2;47.6;1009;1.14;89.2;1.9;0
8/1/2014 5:00;0;0;10.16;45.72;1009;0.76;91.4;1.3;0
8/1/2014 6:00;0;0;7.98;52.5;1009;0.84;102.1;1.7;0
8/1/2014 7:00;0;0;8.9;49.74;1010;1.42;89.2;2.2;0
8/1/2014 8:00;0;0;8.9;50.8;1010;0.56;131;0.9;0
8/1/2014 9:00;0;0;9.2;49.88;1009;0.8;116.5;1.2;0
8/1/2014 10:00;0;0;7.6;57.4;1009;1.4;117.1;2.3;0
8/1/2014 11:00;0;0;9.24;71.36;1009;1.12;133.2;1.6;0
8/1/2014 12:00;0;0;9.6;71.64;1009;1.14;132.3;1.6;0
8/1/2014 13:00;0;0;10.08;80.4;1009;1.48;133.7;2.8;0
8/1/2014 14:00;0;0;10.1;79.1;1010;2.12;140.4;3;0
8/1/2014 15:00;0;0;9.3;79.92;1010;0.58;140.6;1;0
8/1/2014 16:00;50.49;3.25;8.9;78.58;1010;1.64;166;2.5;0
8/1/2014 17:00;144.7;0;9.7;84.5;1011;1.04;132.8;1.8;0
8/1/2014 18:00;345.9;332.6;12.3;72.54;1011;0.98;239.2;1.6;0
8/1/2014 19:00;247.2;0;10.64;77;1011;1.7;244.4;2.6;0
8/1/2014 20:00;496.8;383.2;12;71.2;1010;1.3;59.42;1.7;0
8/1/2014 21:00;240.4;0;13.1;66.38;1009;0.86;234.1;1.2;0
8/1/2014 22:00;412.8;386.1;13.26;54.72;1009;1;323.5;1.4;0
8/1/2014 23:00;203.3;268.4;13.1;58.12;1009;1.7;132.8;2.4;0
9/1/2014 0:00;148.9;357.6;13.8;54.96;1009;0.54;219.1;1;0
9/1/2014 1:00;2.37;0;10.3;65.18;1009;0.96;223;1.7;0
9/1/2014 2:00;0;0;8.56;71.76;1009;1;99.8;1.6;0
9/1/2014 3:00;0;0;7.2;77.38;1010;1.12;100.9;1.8;0
9/1/2014 4:00;0;0;7.9;77;1010;1;101;1.7;0
9/1/2014 5:00;0;0;7.5;78.08;1011;0.94;89.2;1.5;0
9/1/2014 6:00;0;0;7.1;76.68;1010;1.66;74.07;2.8;0
9/1/2014 7:00;0;0;7.4;74.24;1010;1.02;60.05;1.7;0
9/1/2014 8:00;0;0;6.72;75.96;1010;0.86;76.69;1.7;0
9/1/2014 9:00;0;0;7.02;76.1;1010;1.64;60.6;2.6;0
9/1/2014 10:00;0;0;6.7;80.4;1010;1;103.3;1.7;0
9/1/2014 11:00;0;0;7.3;80.1;1010;1.04;104.1;1.8;0
9/1/2014 12:00;0;0;7.7;79.04;1010;1.24;89.1;2.5;0
9/1/2014 13:00;0;0;7.8;79.1;1010;1.18;96.1;1.6;0
9/1/2014 14:00;0;0;7.7;80.7;1010;1.42;136.6;2;0
9/1/2014 15:00;0;0;8.4;79;1010;1.48;135.2;3.1;0
9/1/2014 16:00;29.77;8.24;7.6;80.3;1011;1.16;119;1.7;0
9/1/2014 17:00;168.8;387;9.92;75.96;1012;2.02;140.8;3;0
9/1/2014 18:00;390;669.2;11.58;70.44;1012;1.78;142.9;2.8;0
9/1/2014 19:00;517.1;449.8;11.82;72.36;1012;1.72;166.3;2.1;0
9/1/2014 20:00;189.3;0;11.4;74.9;1012;1.34;91.3;1.8;0
9/1/2014 21:00;485.2;816;14.1;62.62;1011;0.62;216.4;1;0
9/1/2014 22:00;391.6;766.9;15;57.08;1010;1.1;296.5;1.8;0
9/1/2014 23:00;323.2;620.3;15.78;54.92;1010;2.08;267.7;2.9;0
10/1/2014 0:00;80.7;0.04;15;57.32;1010;1.12;291.8;1.5;0
10/1/2014 1:00;1.4;0;14.5;58.36;1011;1.76;298;2.2;0
10/1/2014 2:00;0;0;13.3;63.02;1011;0.56;66.81;1.1;0
10/1/2014 3:00;0;0;11.68;68.66;1011;0.32;159.1;0.5;0
10/1/2014 4:00;0;0;10.62;72.82;1011;0.88;67.19;1.1;0
10/1/2014 5:00;0;0;7.8;79.32;1011;1.64;54.33;2.5;0
10/1/2014 6:00;0;0;7.5;81.8;1012;1.04;73.41;1.7;0
10/1/2014 7:00;0;0;6.7;80.5;1011;1.44;27.79;2.5;0
10/1/2014 8:00;0;0;7.1;84;1011;2.14;54.2;3.5;0
10/1/2014 9:00;0;0;5.1;88.4;1011;1.58;309.2;2.2;0
10/1/2014 10:00;0;0;4.88;88.2;1011;1;173;1.4;0
10/1/2014 11:00;0;0;4;87.5;1011;1.42;147.5;2.1;0
10/1/2014 12:00;0;0;4.8;91.7;1011;2.16;43.34;3.4;0
10/1/2014 13:00;0;0;4.68;88.7;1011;1.28;2.999;2.4;0
10/1/2014 14:00;0;0;4.24;81;1012;1.6;203.9;2.1;0
10/1/2014 15:00;0;0;3.64;82.2;1012;1.6;186.4;2;0
10/1/2014 16:00;73.04;256.9;3.7;86.3;1013;1.34;83.6;2.3;0
10/1/2014 17:00;164.2;337.9;7.2;77.94;1014;0.78;290.2;1.5;0
10/1/2014 18:00;370.5;706.9;10.8;63.46;1014;0.82;308.2;1.2;0
10/1/2014 19:00;403.9;654.7;12.3;55.38;1014;1.92;294.4;2.4;0
10/1/2014 20:00;477.1;717.3;14;50.44;1013;1.12;276.1;1.9;0
10/1/2014 21:00;437.3;598.3;15.16;47.32;1012;1.44;281.3;2.1;0
10/1/2014 22:00;314.9;385.4;15.6;44.1;1010;2.04;311.6;3;0
10/1/2014 23:00;185.2;169.3;15.9;44;1010;2.02;310.4;3.1;0
11/1/2014 0:00;138.3;247.9;15.7;44.72;1010;2.18;309.5;3;0
11/1/2014 1:00;3.48;0;14.5;47.84;1010;1.62;299.6;2.4;0
11/1/2014 2:00;0;0;12.1;56.18;1010;0.3;245.3;0.6;0
11/1/2014 3:00;0;0;10.08;62.2;1010;0.6;68.41;1.1;0
11/1/2014 4:00;0;0;8.3;69.62;1011;1.06;78.81;1.8;0
11/1/2014 5:00;0;0;8.18;71.08;1011;1.14;90.4;2.1;0
11/1/2014 6:00;0;0;8.7;68.86;1011;1;94;1.7;0
11/1/2014 7:00;0;0;8.4;69.06;1011;0.78;92.6;1.5;0
11/1/2014 8:00;0;0;8.94;67.8;1011;0.76;88.8;1.7;0
11/1/2014 9:00;0;0;8.1;71.3;1011;1.06;72.38;2;0
11/1/2014 10:00;0;0;7.7;73.86;1010;0.66;153.1;2.2;0
11/1/2014 11:00;0;0;8.2;71.56;1010;0.74;158.8;1.7;0
11/1/2014 12:00;0;0;8.5;71.16;1011;0.6;123.8;0.9;0
11/1/2014 13:00;0;0;9.7;69.44;1010;1.52;125;2.8;0
11/1/2014 14:00;0;0;9.8;67.86;1010;1.62;128.6;2.3;0
11/1/2014 15:00;0;0;9;71.08;1011;0.5;130.9;0.9;0
11/1/2014 16:00;31.68;0;9.28;70.24;1011;1.2;168;1.9;0
11/1/2014 17:00;72.59;0;11;64.5;1011;2.32;130.6;3.2;0
11/1/2014 18:00;67.84;0;10.7;66.12;1012;2.58;132.8;4.3;0
11/1/2014 19:00;68.78;0;11.4;65.6;1012;1.5;223.3;3.2;0
11/1/2014 20:00;62.38;0;11.2;69.92;1010;2.08;136.4;3.6;0
11/1/2014 21:00;71.58;0;11.7;68.82;1010;2.3;171.2;3.4;0.06
11/1/2014 22:00;95.8;0;11.9;73.8;1009;1.16;148.5;2.6;0
11/1/2014 23:00;52.52;0;11.68;76.34;1009;1.16;147.5;2;0
12/1/2014 0:00;33.85;0;11.58;78.48;1009;1.9;135.6;3;0
12/1/2014 1:00;1.72;0;11.6;76.44;1009;1.7;167.3;2.7;0
12/1/2014 2:00;0;0;11.98;75.12;1010;0.56;84.7;1.3;0
12/1/2014 3:00;0;0;11.5;75.66;1011;1.1;132.3;1.6;0
12/1/2014 4:00;0;0;10.5;78.76;1011;0.72;144;1.1;0
12/1/2014 5:00;0;0;8.3;86.1;1012;1.26;119.5;1.6;0
12/1/2014 6:00;0;0;7.42;87.7;1012;0.94;105.3;1.5;0
12/1/2014 7:00;0;0;7.1;88.3;1012;1.24;95.7;1.7;0
12/1/2014 8:00;0;0;6.4;89.6;1013;1.1;92.3;1.9;0
12/1/2014 9:00;0;0;5.7;90.4;1012;1.2;76.61;2;0
12/1/2014 10:00;0;0;5.5;91.2;1013;1.22;66.63;2.1;0
12/1/2014 11:00;0;0;5.36;91.6;1012;1.04;5.388;1.8;0
12/1/2014 12:00;0;0;5;90.2;1012;1.32;33.28;1.8;0
12/1/2014 13:00;0;0;4.94;90.5;1013;1.46;76.92;2.2;0
12/1/2014 14:00;0;0;5.4;88.1;1013;0.9;108;1.5;0
12/1/2014 15:00;0;0;6.1;83.2;1014;1.04;182.2;1.8;0
12/1/2014 16:00;44.19;67.7;5.4;85.3;1015;4.32;306.4;5.5;0
12/1/2014 17:00;242.8;777.8;6.9;80.4;1016;3.28;292.4;4.1;0
12/1/2014 18:00;377.3;851;8.7;72.18;1016;2.86;292.4;4.2;0
12/1/2014 19:00;533.9;890;10.7;54.92;1016;5.44;303.8;6.7;0
12/1/2014 20:00;518.3;904;11.72;50.44;1015;3.56;305.4;5;0
12/1/2014 21:00;499.6;887;12.84;45.72;1014;5.04;303.4;6.9;0
12/1/2014 22:00;427;847;13.7;40.44;1014;7.52;314.4;9.6;0
12/1/2014 23:00;305.4;766.1;14.2;39.46;1014;4.52;308;5.8;0
13/1/2014 0:00;155.4;613.3;14.7;35.2;1013;4.78;285.2;7.4;0
13/1/2014 1:00;5.03;0;13.86;34.78;1014;4.12;281.7;6.3;0
13/1/2014 2:00;0;0;12.5;39.44;1014;2.06;297.6;5.8;0
13/1/2014 3:00;0;0;11.7;43.22;1014;0.9;75.21;1.3;0
13/1/2014 4:00;0;0;10.4;47.08;1014;0.82;271.9;1.6;0
13/1/2014 5:00;0;0;10.26;46.9;1014;1.82;296.6;2.9;0
13/1/2014 6:00;0;0;9.06;50.48;1015;0.36;225.2;0.8;0
13/1/2014 7:00;0;0;6.6;61.28;1015;1.16;41.61;2.4;0
13/1/2014 8:00;0;0;5.7;64.44;1016;1.26;100.1;1.9;0
13/1/2014 9:00;0;0;6.7;62.12;1016;1.64;75.8;2.5;0
13/1/2014 10:00;0;0;6.16;63.16;1016;1.66;314.6;2.5;0
13/1/2014 11:00;0;0;4.9;69.98;1017;1.36;179.1;1.9;0
13/1/2014 12:00;0;0;4.1;75.92;1017;1.54;188.6;2.1;0
13/1/2014 13:00;0;0;3.3;75.68;1017;1.52;240;2.2;0
13/1/2014 14:00;0;0;3.4;72.98;1018;1.16;142;2.3;0
13/1/2014 15:00;0;0;2.9;74.18;1018;0.8;101.9;2.1;0
13/1/2014 16:00;72.74;475;3.2;73.94;1019;1.18;8.8;2.2;0
13/1/2014 17:00;236.9;726.4;7.56;60.5;1020;0.44;104.6;0.8;0
13/1/2014 18:00;376.9;820;12.28;47.6;1020;0.84;276.2;1.2;0
13/1/2014 19:00;473.9;863;14.12;45.12;1020;1.32;267.6;1.9;0
13/1/2014 20:00;517.4;878;16.08;38.76;1019;1.36;245.4;2;0
13/1/2014 21:00;502.1;862;16.84;37.08;1018;0.96;231;1.5;0
13/1/2014 22:00;431;818;17.34;37.28;1018;0.82;233;1.3;0
13/1/2014 23:00;308.5;726.4;17.4;37.88;1018;1.02;217.7;1.5;0
14/1/2014 0:00;157.6;553.7;16.6;38.52;1018;1.02;290.2;1.3;0
14/1/2014 1:00;6.49;0;14.8;43.04;1017;0.52;219.6;0.8;0
14/1/2014 2:00;0;0;11.2;52.5;1018;0.64;99.2;1;0
14/1/2014 3:00;0;0;8.52;60.98;1018;1.16;77.27;2.2;0
14/1/2014 4:00;0;0;9.5;61.64;1018;1.1;57;1.8;0
14/1/2014 5:00;0;0;7.92;65.84;1018;1.48;67.01;2.3;0
14/1/2014 6:00;0;0;6.1;72.18;1018;2.12;68.81;3;0
14/1/2014 7:00;0;0;6.2;71.06;1018;1.92;55;2.9;0
14/1/2014 8:00;0;0;4.22;77.08;1018;1.36;162.5;1.9;0
14/1/2014 9:00;0;0;5.3;74.86;1018;1.42;21.79;2.4;0
14/1/2014 10:00;0;0;2.6;81.3;1018;2.04;199;2.6;0
14/1/2014 11:00;0;0;3.2;80.1;1018;0.42;188;2.2;0
14/1/2014 12:00;0;0;3.8;79.42;1018;0.54;148;1.8;0
14/1/2014 13:00;0;0;3.04;80.3;1018;0.24;157;1.4;0
14/1/2014 14:00;0;0;3.42;77.66;1018;0.58;220;1.9;0
14/1/2014 15:00;0;0;1.56;85;1019;2;197;2.3;0
14/1/2014 16:00;73.08;484.4;4.98;77.02;1019;1.96;56.41;3;0
14/1/2014 17:00;238.3;738.6;7.74;68.06;1020;0.56;104;1;0
14/1/2014 18:00;377.1;815;12.7;50.72;1020;1.28;139.2;1.8;0
14/1/2014 19:00;476.8;858;14.62;45;1020;1.08;211.1;1.8;0
14/1/2014 20:00;520.4;871;16.06;40.16;1019;1.52;291.2;2;0
14/1/2014 21:00;505.2;858;16.38;38.56;1018;1.54;208.1;3.4;0
14/1/2014 22:00;432.9;815;18;35.32;1017;1.32;249;1.8;0
14/1/2014 23:00;312.3;734.9;17.88;35.4;1017;0.74;134.9;1.2;0
15/1/2014 0:00;157.7;562.2;18.3;34.88;1016;0.76;183.1;1.4;0
15/1/2014 1:00;6.87;0;15.6;41.98;1016;0.44;249.8;0.7;0
15/1/2014 2:00;0;0;11.9;51.26;1016;0.66;74.4;1.1;0
15/1/2014 3:00;0;0;9.62;57.9;1016;0.94;76.56;1.6;0
15/1/2014 4:00;0;0;8.16;63.14;1016;1.42;66.4;2.3;0
15/1/2014 5:00;0;0;7.46;67.22;1016;0.84;108.7;1.5;0
15/1/2014 6:00;0;0;7.18;69.58;1016;1.74;73.58;2.2;0
15/1/2014 7:00;0;0;7.6;68.48;1016;2.02;55.99;2.9;0
15/1/2014 8:00;0;0;7.64;69.98;1016;2.3;67.4;3.3;0
15/1/2014 9:00;0;0;6.58;70.74;1016;1.56;66.21;2.5;0
15/1/2014 10:00;0;0;6;72.74;1016;2.44;69.8;3.4;0
15/1/2014 11:00;0;0;6.4;71.12;1016;2.18;66.2;3.2;0
15/1/2014 12:00;0;0;6.1;72.24;1016;2.74;30.4;3.9;0
15/1/2014 13:00;0;0;5.44;73.36;1016;2.28;15;3.6;0
15/1/2014 14:00;0;0;5.7;71.96;1016;1.98;8.01;3.5;0
15/1/2014 15:00;0;0;5.52;72.4;1016;1.8;18.8;2.6;0
15/1/2014 16:00;68.8;388.9;5.6;71.3;1017;1.44;67.44;2.9;0
15/1/2014 17:00;235.2;695.2;9.46;59.62;1017;0.62;90.8;0.9;0
15/1/2014 18:00;375.8;791.1;14.02;46.74;1017;0.92;274.5;1.5;0
15/1/2014 19:00;474.9;839;15.3;41.2;1016;1.5;303;2.7;0
15/1/2014 20:00;520.3;861;17.22;37.34;1015;1.46;309.1;1.9;0
15/1/2014 21:00;506.1;849;18.84;31.94;1014;1.34;267.3;2;0
15/1/2014 22:00;434.3;803;19.46;31.66;1013;1.34;300.4;2.6;0
15/1/2014 23:00;320.6;754.3;20.8;28.34;1012;1.82;263.2;2.4;0
16/1/2014 0:00;159.3;537.5;20.3;28.34;1012;1.6;260;2.4;0
16/1/2014 1:00;8.17;0;18.14;32.7;1012;0.4;235;0.5;0
16/1/2014 2:00;0;0;13.7;42;1011;0.74;97.4;1;0
16/1/2014 3:00;0;0;10.72;49.42;1012;0.52;93.8;0.8;0
16/1/2014 4:00;0;0;10.18;54.72;1012;0.7;73.6;1.3;0
16/1/2014 5:00;0;0;9.02;57.6;1012;0.68;232.7;1.5;0
16/1/2014 6:00;0;0;9.26;57.56;1012;1.22;94;2.1;0
16/1/2014 7:00;0;0;8;62.14;1012;2.04;58.6;3;0
16/1/2014 8:00;0;0;6.12;65.32;1012;2.06;43.39;3.6;0
16/1/2014 9:00;0;0;6.88;66;1012;1.94;29.18;2.7;0
16/1/2014 10:00;0;0;6.56;61.56;1012;2.04;41.4;3.1;0
16/1/2014 11:00;0;0;4.66;68.56;1012;1.44;108.5;3;0
16/1/2014 12:00;0;0;5.4;66.72;1012;1.16;5.201;1.8;0
16/1/2014 13:00;0;0;6.16;58.08;1011;2.32;16.6;3.6;0
16/1/2014 14:00;0;0;5.64;54.24;1012;2.18;23.8;3.1;0
16/1/2014 15:00;0;0;5.1;53.26;1012;2.44;27.36;3.9;0
